name,price,brand,url,image
KLIPX NOTEBOOK CASE 15.6″ (KNB-416GR),"
	$95.00
","
			Bags		",https://computerworldslu.com/product/klipx-notebook-case-15-6-knb-416gr/,https://computerworldslu.com/wp-content/uploads/2024/03/image-23-300x300.png
Ladies bags Amalfi KLB-450BG 15.6,"
	$145.00
","
			Bags		",https://computerworldslu.com/product/ladies-bags-amalfi-klb-450bg-15-6/,https://computerworldslu.com/wp-content/uploads/2024/03/fotos-landing-KLB-450-BG-300x300.png
"LENOVO IdeaPad Flex 5 16IRU8, 16″ TOUCHSCREEN, I7-1355U, 16GB, 512GB SSD, W11, ABYSS BLUE","
	$2950.00
","
			Computers		",https://computerworldslu.com/product/lenovo-ideapad-flex-5-16iru8-16-touchscreen-i7-1355u-16gb-512gb-ssd-w11-abyss-blue/,https://computerworldslu.com/wp-content/uploads/2024/02/IdeaPad_Flex_5_16IRU8_CT4_04-300x300.png
Microsoft Surface Go 2 Tablet,"
	$1295.00
","
			Computers		",https://computerworldslu.com/product/microsoft-surface-go-2-tablet/,https://computerworldslu.com/wp-content/uploads/2024/02/s-l1600-1-300x300.png
MUNBYN POS Receipt Printer,"
	$595.00
","
			Printers		",https://computerworldslu.com/product/munbyn-pos-receipt-printer/,https://computerworldslu.com/wp-content/uploads/2024/02/71wxFQfoXzL._AC_SL1500_-300x300.png
NEWLAND WIRED BARCODE SCANNER/READER / NLS-HR12 / BLACK,"
	$195.00
","
			Bar code Scanner		",https://computerworldslu.com/product/newland-wired-barcode-scanner-reader-nls-hr12-black/,https://computerworldslu.com/wp-content/uploads/2024/02/NEWLAND_HR1250-70_ICECAT_17962663-300x300.png
Nexxt – Indoor And Outdoor Battery Camera,"
	$350.00
","
			Camera		",https://computerworldslu.com/product/nexxt-indoor-and-outdoor-battery-camera/,https://computerworldslu.com/wp-content/uploads/2024/02/798302057531-a-1-300x300.png
NEXXT Indoor WiFi Fixed Security Camera Day/Night Vision 2K QHD,"
	$155.00
","
			Camera		",https://computerworldslu.com/product/nexxt-indoor-wifi-fixed-security-camera-day-night-vision-2k-qhd/,https://computerworldslu.com/wp-content/uploads/2024/02/image-13-300x300.png
Smart doorbell with camera,"
	$395.00
","
			Camera		",https://computerworldslu.com/product/smart-doorbell-with-camera/,https://computerworldslu.com/wp-content/uploads/2024/02/nhc-d100_bn_ca_01_esp-300x300.png
Tucano Hop Backpack for 15.6″ and 16″ Laptops,"
	$240.00
","
			Bags		",https://computerworldslu.com/product/tucano-hop-backpack-for-15-6-and-16-laptops/,https://computerworldslu.com/wp-content/uploads/2024/03/1649863047_IMG_1735748-300x300.png
TUCANO Velluto Sleeve MB Pro/Air 13inch Notebook Black,"
	$125.00
","
			Audio Accessories		",https://computerworldslu.com/product/tucano-velluto-sleeve-mb-pro-air-13inch-notebook-black/,https://computerworldslu.com/wp-content/uploads/2024/03/BFVELMB13-BK-6-300x300.png
XTech Insurgent XTB507 portable suitcase up to 16.5″,"
	$145.00
","
			Bags		",https://computerworldslu.com/product/xtech-insurgent-xtb507-portable-suitcase-up-to-16-5/,https://computerworldslu.com/wp-content/uploads/2024/03/morral-xtech-insurgent-xtb507-300x300.png
XTECH XTB-209 Backpack 15.6″Inch Black,"
	$55.00
","
			Bags		",https://computerworldslu.com/product/xtech-xtb-209-backpack-15-6inch-black/,https://computerworldslu.com/wp-content/uploads/2024/03/image-20-300x300.png
ZOZO 90W AC Automatic Voltage Laptop Charger,"
	$195.00
","
			Laptop Charger		",https://computerworldslu.com/product/zozo-90w-ac-automatic-voltage-laptop-charger/,https://computerworldslu.com/wp-content/uploads/2024/02/71vMosnWNJL._AC_SL1500_-300x300.png
“Bazic Silky Gel Crayons 12-Pack | Smooth and Vibrant Coloring |,"
	$16.95
","
			Cryaons		",https://computerworldslu.com/product/bazic-silky-gel-crayons-12-pack-smooth-and-vibrant-coloring/,https://computerworldslu.com/wp-content/uploads/2023/06/45345ef77ed0045db4bfd7fea3f472bf-300x300.jpeg
12PT C1S Cast Coated Cover – Available in 25 and 100 Sheet Packs,"
	$18.35 – $50.00
","
			CardStock		",https://computerworldslu.com/product/12pt-c1s-cast-coated-cover-available-in-25-and-100-sheet-packs/,https://computerworldslu.com/wp-content/uploads/2023/08/images.jpeg
18-Channel CCTV Camera Power Supply Distribution Unit,"
	$445.00
","
			Power Supplies		",https://computerworldslu.com/product/18-channel-cctv-camera-power-supply-distribution-unit/,https://computerworldslu.com/wp-content/uploads/2023/10/download-22.jpeg
“Intergra Wood Case Pencils 11 pk,"
	$4.75
","
			Pencils		",https://computerworldslu.com/product/intergra-wood-case-pencils-11-pk/,https://computerworldslu.com/wp-content/uploads/2023/06/1012683004-300x300.jpg
1501 CHM BLK  Office source  Executive Chair,"
	$1550.00
","
			Arm Chair		",https://computerworldslu.com/product/1501-chm-blk-office-source-executive-chair/,https://computerworldslu.com/wp-content/uploads/2023/04/1a8e870e-f622-4b1c-89a0-6a8b64a80f5b-300x300.png
2 1/4 x 60 Thermal Credit Card Rolls – High-Quality Thermal Paper for Smooth Credit Card Transactions,"
	$2.65
","
			Receipt Rolls (Paper)		",https://computerworldslu.com/product/2-1-4-x-60-thermal-credit-card-rolls-high-quality-thermal-paper-for-smooth-credit-card-transactions/,https://computerworldslu.com/wp-content/uploads/2023/06/ezgif.com-webp-to-jpg-6-1-300x300.jpg
2 MP IP camera Hikvision DS-2CD1023G0-I (4 mm),"
	$395.00
","
			CCTV		",https://computerworldslu.com/product/2-mp-ip-camera-hikvision-ds-2cd1023g0-i-4-mm/,https://computerworldslu.com/wp-content/uploads/2021/05/CR-2.jpg
2 MP IP camera Hikvision DS-2CD1621FWD-IZ,"
	$545.00
","
			CCTV		",https://computerworldslu.com/product/2-mp-ip-camera-hikvision-ds-2cd1621fwd-iz/,https://computerworldslu.com/wp-content/uploads/2021/05/hikvision-ds-2cd1621fwd-iz-600x600-1.jpg
20 Sheets Finger Paint Paper Pad – 16″ x 12″ – High-Quality Artistic Paper for Finger Painting,"
	$7.25
","
			Office Supplies		",https://computerworldslu.com/product/20-sheets-finger-paint-paper-pad-16-x-12-high-quality-artistic-paper-for-finger-painting/,https://computerworldslu.com/wp-content/uploads/2023/06/5040-300x300.jpg
24/8 No128 kangaro staples,"
	$3.50
","
			STATIONERY		",https://computerworldslu.com/product/24-8-no128-kangaro-staples/,https://computerworldslu.com/wp-content/uploads/2021/07/8901057500326-surmata-surraptikou-24-8-no128-kangaro.jpg
2m USB 2.0 A to B Cable – M/M,"
	$25.00
","
			Cables		",https://computerworldslu.com/product/2m-usb-2-0-a-to-b-cable-m-m/,https://computerworldslu.com/wp-content/uploads/2021/05/usb2habxm.main_-300x300.jpg
3 Drawer Lateral file Cabinet,"
	$1450.00
","
			Cabinets		",https://computerworldslu.com/product/3-drawer-lateral-file-cabinet/,https://computerworldslu.com/wp-content/uploads/2023/04/124f2e8d-04c9-4cff-959b-269f0d0c60c0-300x300.jpg
3.3 ft. USB C to DP 1.4 Cable,"
	$145.00
","
			Computer Accessories		",https://computerworldslu.com/product/3-3-ft-usb-c-to-dp-1-4-cable/,https://computerworldslu.com/wp-content/uploads/2022/03/ETDCDP2DP141MBD__69821.1600788161.jpg
3nStar Lazer Scanner,"
	$195.00 – $750.00
","
			Bar code Scanner		",https://computerworldslu.com/product/3nstar-lazer-scanner/,https://computerworldslu.com/wp-content/uploads/2022/03/download-15.jpg
6 ft Slim High Speed HDMI Cable with Ethernet – HDMI to HDMI Mini M/M,"
	$39.00
","
			HDMI CABLES		",https://computerworldslu.com/product/6-ft-slim-high-speed-hdmi-cable-with-ethernet-hdmi-to-hdmi-mini-m-m/,https://computerworldslu.com/wp-content/uploads/2021/05/hdmiacmm6s.main_.jpg
64GB Kingston DataTraveler 100 USB3.0 Flash Drive Black,"
	$59.00
","
			USB Drives		",https://computerworldslu.com/product/64gb-kingston-datatraveler-100-usb3-0-flash-drive-black/,https://computerworldslu.com/wp-content/uploads/2021/05/s-l1600-3-300x300.jpg
64GB Kingston DataTraveler USB 3.0 Flash Drive,"
	$59.00
","
			USB Drives		",https://computerworldslu.com/product/64gb-kingston-datatraveler-usb-3-0-flash-drive/,https://computerworldslu.com/wp-content/uploads/2021/05/s-l1600-300x300.jpg
"64GB, 32GB USB FLASH DRIVE, USB 2.0, UV210 METAL","
	$35.00 – $55.00
","
			USB Drives		",https://computerworldslu.com/product/64gb-32gb-usb-flash-drive-usb-2-0-uv210-metal/,https://computerworldslu.com/wp-content/uploads/2021/05/64gb-usb-flash-drive-usb-20-uv210-metal-2-1-300x300.jpg
65W 45W Type C USB C Laptop Charger AC Adapter fit for Len ove Chromebook N23 Yoga/Flex 11 Chromebook/ThinkPad 13 Chromebook 2nd Generation/11e 4th Gen 100e 300e 500e c340 c340-11 c340-15 s330 s340,"
	$195.00
","
			Laptop Charger		",https://computerworldslu.com/product/65w-45w-type-c-usb-c-laptop-charger-ac-adapter-fit-for-len-ove-chromebook-n23-yoga-flex-11-chromebook-thinkpad-13-chromebook-2nd-generation-11e-4th-gen-100e-300e-500e-c340-c340-11-c340-15-s330-s340/,https://computerworldslu.com/wp-content/uploads/2022/05/61DAGS8GlsL._AC_SX679_.jpg
"8.5×11 Cork Board – Compact and Versatile Bulletin Board for Home, Office, and Schoo","
	$3.00
","
			Cork Board		",https://computerworldslu.com/product/8-5x11-cork-board-compact-and-versatile-bulletin-board-for-home-office-and-schoo/,https://computerworldslu.com/wp-content/uploads/2023/06/BP-6020-12_736223-300x300.jpg
8cm Plastic Paper Fasteners – Durable and Convenient Document Binding Solution,"
	$6.25
","
			Office Supplies		",https://computerworldslu.com/product/8cm-plastic-paper-fasteners-durable-and-convenient-document-binding-solution/,https://computerworldslu.com/wp-content/uploads/2023/08/H2cd7cd22b11a47669a51e233586230271-300x300.jpg
90 GSM Legal White Multifunction Paper – Pack of 500 Sheets for Versatile Printing,"
	$42.00
","
			Legal		",https://computerworldslu.com/product/90-gsm-legal-white-multifunction-paper-pack-of-500-sheets-for-versatile-printing/,https://computerworldslu.com/wp-content/uploads/2023/08/61YWcXKHmKL._AC_UF8941000_QL80_-300x300.jpg
920-002714 LOGITECH MEDIA COMBO MK200 FULL-SIZE KEYBOARD AND HIGH-DEFINITION OPTICAL MOUSE 097855067166,"
	$120.00
","
			KEYBOARD		",https://computerworldslu.com/product/920-002714-logitech-media-combo-mk200-full-size-keyboard-and-high-definition-optical-mouse-097855067166/,https://computerworldslu.com/wp-content/uploads/2021/06/mk200.jpg
"A4 Copy Paper – 8.27×11.69 Inches, Ideal for Printing and Reproducing Documents","
	$24.00 – $120.00
","
			A4		",https://computerworldslu.com/product/a4-copy-paper-8-27x11-69-inches-ideal-for-printing-and-reproducing-documents/,https://computerworldslu.com/wp-content/uploads/2023/08/printing-paper-300x300.jpg
A4 Neon and Pastel Color Copy Paper – Pack of 100 Sheets for Eye-Catching Projects,"
	$13.00
","
			Legal		",https://computerworldslu.com/product/a4-neon-and-pastel-color-copy-paper-pack-of-100-sheets-for-eye-catching-projects/,https://computerworldslu.com/wp-content/uploads/2023/08/41Q2ZQxLMgL._AC_UF8941000_QL80_-300x300.jpg
ACCO Blue Data Binder 11″ x 14 7/8″: Reliable and Professional Data Organization,"
	$11.55
","
			Data Binder		",https://computerworldslu.com/product/acco-blue-data-binder-11-x-14-7-8-reliable-and-professional-data-organization/,https://computerworldslu.com/wp-content/uploads/2023/08/acco-pressboard-hanging-data-binder-11-x-14-7-8-burst-sheets-light-blue-acc54272-26.jpeg
Adapter Mini DisplayPort for HDMI 4K 13cm Black Belkin,"
	$95.00
","
			Computer Accessories		",https://computerworldslu.com/product/adapter-mini-displayport-for-hdmi-4k-13cm-black-belkin/,https://computerworldslu.com/wp-content/uploads/2021/05/s-l500-1.jpg
ADAPTER-CONVERTER CA TYPE FEMALE DISPLAYPORT,"
	$65.00
","
			Computer Accessories		",https://computerworldslu.com/product/adapter-converter-ca-type-female-displayport/,https://computerworldslu.com/wp-content/uploads/2022/03/adaptador-convertidor-tipo-c-a-display-port-hembra.jpg
ADATA 2TB Hard drive,"
	$395.00
","
			Computer Accessories		",https://computerworldslu.com/product/adata-2tb-hard-drive/,https://computerworldslu.com/wp-content/uploads/2022/03/adata-hd330-2tb-external-hard-disk-black-300x300.jpg
ADATA 960GB SSD,"
	$495.00
","
			Computer Accessories		",https://computerworldslu.com/product/adata-960gb-ssd/,https://computerworldslu.com/wp-content/uploads/2022/03/5fc404_7ab37403c2b34faa842c723d0b07525e_mv2.jpg
ADATA DDR4 2666 Desktop Memory,"
	$245.00
","
			Computer Accessories		",https://computerworldslu.com/product/adata-ddr4-2666-desktop-memory/,https://computerworldslu.com/wp-content/uploads/2022/03/MEMDAT5900_400.jpg
"ADATA Premier 16GB, 32GB, 64GB microSDHC/SDXC Memory Card with Adapter","
	$29.00 – $55.00
","
			Memory Cards		",https://computerworldslu.com/product/adata-premier-16gb-32gb-64gb-microsdhc-sdxc-memory-card-with-adapter/,https://computerworldslu.com/wp-content/uploads/2021/05/4713435796849-001-1400Wx1400H.jpg
"ADATA Premier 32GB, 128GB, 256GB MicroSDHC/SDXC UHS-I Class 10 V10 A1 Memory Card with Adapter Read up to 100 MB/s","
	$39.00 – $195.00
","
			Memory Cards		",https://computerworldslu.com/product/adata-premier-32gb-128gb-256gb-microsdhc-sdxc-uhs-i-class-10-v10-a1-memory-card-with-adapter-read-up-to-100-mb-s/,https://computerworldslu.com/wp-content/uploads/2021/05/adata-microsdxc-128gb-uhs-i-100-25mb-s-adapter-300x300.jpg
ADATA UV220 16GB White/Gray USB 2.0,"
	$25.00
","
			USB Drives		",https://computerworldslu.com/product/adata-uv220-16gb-white-gray-usb-2-0/,https://computerworldslu.com/wp-content/uploads/2021/05/4713218462732.jpg
ADATA UV230 64GB USB  Flash Drive,"
	$55.00
","
			USB Drives		",https://computerworldslu.com/product/adata-uv230-64gb-usb-flash-drive/,https://computerworldslu.com/wp-content/uploads/2021/05/1745359_2_i1064-300x300.jpg
"ADATA UV240P 64 GB, USB-Stick","
	$55.00
","
			USB Drives		",https://computerworldslu.com/product/adata-uv240p-64-gb-usb-stick/,https://computerworldslu.com/wp-content/uploads/2021/05/ADATA_UV240P_64_GB__USB_Stick@@1731221.jpg
ADATA XPG SX6000 Pro 512GB SSD,"
	$295.00
","
			Computer Accessories		",https://computerworldslu.com/product/adata-xpg-sx6000-pro-512gb-ssd/,https://computerworldslu.com/wp-content/uploads/2022/03/imgsticode-300x300.jpg
AddOn 4GB DDR3 1333MHZ 204-pin SODIMM,"
	$150.00
","
			Computer Accessories		",https://computerworldslu.com/product/addon-4gb-ddr3-1333mhz-204-pin-sodimm/,https://computerworldslu.com/wp-content/uploads/2022/03/1013078147.jpg
